,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
49,RNNG_in_order_beam,80000,2.0,-4.6751732325905954e-07,0,-312.9934029627279,0.003104450549642179,0.13193922978836864,0.22074317048533662,-0.14628998468844914,"RLRLRR, RRRRRR, RRRLRR"
50,SRNNG_top_down_beam,0,2.0,2.644327861589742e-06,0,-313.26897861143357,-0.0656217094430031,0.1578285967528299,0.28215292976067335,0.16514029410936004,"RLRLLL, RLRRLL, RLLRLL"
51,SRNNG_top_down_beam,20000,2.0,3.969075496639734e-06,0,-313.6155698115378,-0.09840630948138965,0.14804032715023727,0.29103772334894207,0.13977639245975573,"RLLLLL, RLRLLL, RLLRLL"
52,SRNNG_top_down_beam,40000,2.0,2.19179756649923e-06,0,-313.1606306763962,-0.051177482856623865,0.12265351144184636,0.3253677244349704,0.2960549223926184,"RLLLLL, LLLLLL, RLRLLL"
53,SRNNG_top_down_beam,60000,2.0,1.7721840700666951e-06,0,-313.1174430680757,-0.04411200113108174,0.13918375516223574,0.27482977030819716,0.2862627842266371,"RLLLLL, RLRLLL, LLLLLL"
54,SRNNG_top_down_beam,80000,2.0,2.956707086242749e-06,0,-313.3406737875648,-0.07362742268999053,0.12410125681753235,0.28984161551767873,0.22054388751973208,"RLLLLL, RLRLLL, RLRRLL"
55,SRNNG_in_order_beam,0,2.0,-7.053395493912719e-06,0,-313.50772210880996,0.08951867350355605,-0.1065112691564132,0.335272806862165,-0.29597840571372297,"RRRRRR, RRRLRR, RRLRRR"
56,SRNNG_in_order_beam,20000,2.0,-4.466385595952514e-06,0,-313.24888753754345,0.06319484529612364,-0.11367337766611438,0.3769566238242104,-0.2916977615201948,"RRRRRR, RRRLRR, RRLRRR"
57,SRNNG_in_order_beam,40000,2.0,-5.408735778858686e-06,0,-313.18366884811377,0.05457195945416481,-0.1501979872193102,0.4037478326644578,-0.11244300618628511,"RRRRRR, RRRLRR, RRLLRR"
58,SRNNG_in_order_beam,60000,2.0,-1.626646574132847e-05,0,-314.11712498037997,0.13196355627496492,-0.12275667555361729,0.4156385758006432,-0.15414206697530308,"RRRRRR, LLRLLL, RRRLRR"
59,SRNNG_in_order_beam,80000,2.0,-7.689369032142952e-06,0,-313.34259387571973,0.07382977491775133,-0.13605115403097373,0.4360130393608401,-0.16143431326835353,"RRLRRR, RRRRRR, RRRLRR"
60,RNNG_top_down_beam,0,3.0,5.039498910434035e-09,0,-313.01137600456354,-0.017041838429221134,0.2373721954550253,0.2226761275339162,0.23274549435580288,"RLRLLL, RLLLLL, RLLRLL"
61,RNNG_top_down_beam,20000,3.0,1.1111781719058822e-08,0,-313.09101018268376,-0.03916086495773542,0.2838220195417191,0.19673444805846133,0.20649419112179465,"RLRLLL, RLLLLL, RLLRLL"
62,RNNG_top_down_beam,40000,3.0,5.91685327967072e-09,0,-313.0191740127623,-0.02030333293395572,0.295980928947512,0.20530112759293612,0.2376000231084987,"RLLLLL, RLRLLL, RLLRLL"
63,RNNG_top_down_beam,60000,3.0,3.695849133328257e-09,0,-313.0023128663187,-0.012200156758057863,0.2649345584830541,0.21263176377205056,0.25570109703735533,"RLRLLL, RLRRLL, RLLLLL"
64,RNNG_top_down_beam,80000,3.0,9.627284801623619e-09,0,-313.05722777617007,-0.03172370746952613,0.24404793646157685,0.19120057562057693,0.2704586583804697,"RLLLLL, RLRLLL, RLLRLL"
65,RNNG_in_order_beam,0,3.0,-2.890596008458288e-07,0,-314.8556248226073,0.1693733448235938,0.18008782780024674,0.3242982990476872,-0.05992562001435306,"LRRRLL, RRRRRR, RRRLRR"
66,RNNG_in_order_beam,20000,3.0,-1.0007738581224003e-07,0,-313.938296837468,0.12109917502675173,0.20446502850537498,0.4513056543247604,-0.32383958631969695,"RRRRRR, RRRLRR, RRLRRR"
67,RNNG_in_order_beam,40000,3.0,-9.709513760759651e-08,0,-313.4114122391584,0.08074457639418982,0.14843899063554042,0.4111008452788602,-0.2332115633981856,"RLRRLR, RRRRRR, RRRLRR"
68,RNNG_in_order_beam,60000,3.0,-2.526290098890221e-07,0,-314.1905695933467,0.13616652033140503,0.19143446397788982,0.4761321391509052,-0.21162214398370563,"RRRRRR, RRLRRR, RRRLRR"
69,RNNG_in_order_beam,80000,3.0,-5.27246312640734e-09,0,-312.994464838036,0.005121437040169834,0.13174017447624525,0.22474964758614752,-0.14670410916580054,"RLRLRR, RRRRRR, RRRLRR"
70,SRNNG_top_down_beam,0,3.0,1.886717145533107e-08,0,-313.28165149471374,-0.06710700666613881,0.15710960856325956,0.28194377862547493,0.16098247329934035,"RLRLLL, RLRRLL, RLLRLL"
71,SRNNG_top_down_beam,20000,3.0,2.8051430741527538e-08,0,-313.6342215019406,-0.09986175534702238,0.14669382664051053,0.2904511012086697,0.13638226466397946,"RLLLLL, RLRLLL, RLLRLL"
72,SRNNG_top_down_beam,40000,3.0,1.6169621577311968e-08,0,-313.18035984981975,-0.05409758131938942,0.12133165177589979,0.32447104674947086,0.2910262259624774,"RLLLLL, LLLLLL, RLRLLL"
73,SRNNG_top_down_beam,60000,3.0,1.302696999992624e-08,0,-313.1301301631747,-0.04630009886130303,0.1374639008756527,0.2742820064134076,0.28142206777924617,"RLLLLL, RLRLLL, LLLLLL"
74,SRNNG_top_down_beam,80000,3.0,2.110793218451399e-08,0,-313.3557762949625,-0.07520416964320101,0.12234896050564123,0.29002295118514276,0.21649078585819298,"RLLLLL, RLRLLL, RLRRLL"
75,SRNNG_in_order_beam,0,3.0,-4.9083293371539734e-08,0,-313.51778545744816,0.09038562059259972,-0.10695773018035895,0.33332605246440977,-0.2921103310162593,"RRRRRR, RRRLRR, RRLRRR"
76,SRNNG_in_order_beam,20000,3.0,-3.1628699844309874e-08,0,-313.26054951522326,0.06461472458714922,-0.1141832372137559,0.3755901976678312,-0.28718890779041506,"RRRRRR, RRRLRR, RRLRRR"
