,model,fold,k,slope,delta loglik,AIC,correl,micro_correl,consistency,left_pref,top3_langs
327,5gram,40000,2.0,-0.00012698085876098358,0,-313.1884345816004,0.055247975685477214,0.17549145255826776,0.30312948275007445,-0.04430080082991783,"LRLRRR, LRRRRR, RRRRRR"
328,5gram,60000,2.0,-0.00011051537155367403,0,-313.1409154106082,0.0480816308214453,0.15405625194964184,0.3074777470878423,-0.043516982165080154,"LRLRRR, LRRRRR, RRRRRR"
329,5gram,80000,2.0,-9.19896027544425e-05,0,-313.09795059387665,0.04051968770365528,0.14272714310788276,0.2965731408457344,-0.038194693230505505,"LRLRRR, LRRRRR, RRLRRR"
330,3gram_actions_td,0,2.0,-0.03593806581869478,0,-315.51841743778806,0.19670909391205188,0.27975131973720924,0.19819207690356141,0.16799938845252466,"RLLRRL, LLLRRL, RLLRRR"
331,3gram_actions_td,20000,2.0,-0.04022678619992299,0,-315.6000791900079,0.19980059437589717,0.2924741731163614,0.1899069693850717,0.18432290696273054,"RLLRRL, LLLRRL, RLLRRR"
332,3gram_actions_td,40000,2.0,-0.03877247807237165,0,-315.710418734685,0.2038972341502237,0.29406324730115235,0.19061813128215072,0.1422756595646122,"RLLRRR, LLLRRR, RLRRRL"
333,3gram_actions_td,60000,2.0,-0.0392905090060932,0,-315.7486945018915,0.2052976031044133,0.3164589896999902,0.19393654027583376,0.19615850188632944,"RLLRRL, LLLRRL, RLRRRR"
334,3gram_actions_td,80000,2.0,-0.03868991247885492,0,-315.3167946134995,0.18884183064239374,0.26723981401940927,0.19836692652882643,0.17529877253995338,"RLLRRR, LLLRRR, RLLRRL"
335,4gram_actions_td,0,2.0,-0.09402186525485401,0,-318.518826805879,0.2876138387720881,0.3802011227238799,0.27811721957152863,-0.003284365416599995,"LLRRRL, RLRRRL, LLRRRR"
336,4gram_actions_td,20000,2.0,-0.10712331041495265,0,-318.64896991163937,0.2908351725641478,0.3947066336094084,0.2612156373441619,-0.007147166376648827,"LLRRRL, RLRRRL, LLRRRR"
337,4gram_actions_td,40000,2.0,-0.09922624255920237,0,-319.1274047732059,0.302328972866572,0.42553724878999133,0.2894254771844381,0.028988047552985834,"RLRRRL, LLRRRR, RLRRRR"
338,4gram_actions_td,60000,2.0,-0.11075964235391786,0,-318.5917078411843,0.28942303156546534,0.40055926696015426,0.30471140753060666,0.0963535179538988,"LLRRRL, RLRRRL, LLRRRR"
339,4gram_actions_td,80000,2.0,-0.10810510477940002,0,-318.6836824035222,0.29168727803953554,0.3991170737809075,0.29430388533920504,0.1060622175919547,"LLRRRL, RLRRRL, LLRRRR"
340,5gram_actions_td,0,2.0,-0.0409809226347153,0,-314.114961519043,0.13183764339933612,0.48209554305914337,0.29915769966634775,0.0225583661085096,"RLLRRL, RLRRRL, RLLLLL"
341,5gram_actions_td,20000,2.0,-0.04548597296920169,0,-314.50460026602127,0.15279161554484796,0.5484871469410363,0.2627470291590335,0.03335777196637013,"RLLRRL, RLRRRL, RLLLLL"
342,5gram_actions_td,40000,2.0,-0.03108390493575738,0,-313.79044209594696,0.11129253314555973,0.5118268272526666,0.2843174180561938,0.08894447603183138,"RLLRRL, RLRRRL, RLLLLL"
343,5gram_actions_td,60000,2.0,-0.026484197371574383,0,-313.51226636669315,0.08991120863022607,0.4861610250617175,0.26681851020118796,0.1935228606924712,"RLLLLL, RLLRLL, RLLRRL"
344,5gram_actions_td,80000,2.0,-0.03082705737050804,0,-313.73797174339387,0.1075918275086719,0.4892607541805059,0.2741085078186195,0.1701438655355156,"RLLRLL, RLLLLL, RLLRRL"
345,3gram_actions_lc-as,0,2.0,-0.005719199495521841,0,-315.18656945734597,0.18356751785162,0.5505532262206942,0.1411822230033256,0.26543739239628295,"RLLRRR, RLLRRL, RLRRRR"
346,3gram_actions_lc-as,20000,2.0,-0.0059298633863021834,0,-315.18227204881543,0.18339069517962622,0.5597993190265378,0.13792738725253958,0.2724832561450029,"RLLRRL, RLLRRR, RLRRRR"
347,3gram_actions_lc-as,40000,2.0,-0.005696889106224287,0,-315.15785725513314,0.18238263522522913,0.5568241341911858,0.13480317369966455,0.2655951659654046,"RLLRRL, RLLRRR, RLRRRR"
348,3gram_actions_lc-as,60000,2.0,-0.005788099228614434,0,-315.11074231917814,0.18042028793341316,0.5567864587291834,0.13982067946952909,0.2645028670403972,"RLLRRR, RLLRRL, RLRRRR"
349,3gram_actions_lc-as,80000,2.0,-0.005720630095834656,0,-315.09157608389074,0.17961545800923698,0.5579094368909653,0.13374231342806106,0.2765633549557422,"RLLRRL, RLLRRR, RLLRLL"
